Name,Address,Closed bucket,Distance,Latitude,Longitude
Casa Di Giorgios,"1646 Queen St E (at Eastern Ave,), Toronto ON M4L 1G3",VeryLikelyOpen,583,43.6677628,-79.30811709999999
Pizza Pizza,"1771 W Lake Shore Blvd (Woodbine ave), Toronto ON M4L 3V9",LikelyOpen,594,43.6677628,-79.30811709999999
Pizza Hut,"2070 Queen St E, Toronto ON M4E 1C9",LikelyOpen,941,43.6677628,-79.30811709999999
Otherside Pizza,"1911 Queen St E, Toronto ON M4L 1H3",VeryLikelyOpen,326,43.6677628,-79.30811709999999
Maestro Omar's Gourmet Pizza,"66 Kingston Rd, Toronto ON M4L 1S4",LikelyOpen,334,43.6677628,-79.30811709999999
Pizza Nova,"1928 Queen St E (at Elmer Ave), Toronto ON M4L 1H5",LikelyOpen,387,43.6677628,-79.30811709999999
Pizzaville,"1971 Queen St E, Toronto ON M4L 1H9",VeryLikelyOpen,593,43.6677628,-79.30811709999999
O Sushi,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",LikelyOpen,714,43.6677628,-79.30811709999999
Makkah Restaurant,"2980 Danforth Ave (Donlands Ave), Toronto ON M4C 1M6",LikelyOpen,276,43.691468,-79.288619
Pizza Pizza,"2795 Danforth Ave (btwn Trent Ave & Kelvin Ave), Toronto ON M4C 1M2",LikelyOpen,611,43.691468,-79.288619
Subhan Halal Pizza,"2970 Danforth Ave, Toronto ON M4C 1M6",LikelyOpen,298,43.691468,-79.288619
Chowk Bazaar Burger & Pizza,"3210 Danforth Ave, Scarborough ON",LikelyOpen,467,43.691468,-79.288619
Little Caesars Pizza,"2480 Gerrard St E, Toronto ON M1N 4C3",VeryLikelyOpen,502,43.691468,-79.288619
Reginos Pizza,"3331 Danforth Ave, Toronto ON M1L 1C5",LikelyOpen,610,43.691468,-79.288619
Pizza Pizza,"2795 Danforth Ave, Toronto ON M4C 1M2",LikelyOpen,597,43.691468,-79.288619
Pizzaiolo,"3 Rees St (Queens Quay), Toronto ON M5V 3J2",LikelyOpen,402,43.640722,-79.391051
Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",VeryLikelyOpen,971,43.640722,-79.391051
General Assembly,"331 Adelaide St W, Toronto ON M5V 1R5",LikelyOpen,751,43.640722,-79.391051
Taverna Mercatto,"120 Bremner Blvd, Toronto ON M5J 0A8",LikelyOpen,661,43.640722,-79.391051
Fusaro's Kitchen,"147 Spadina Ave (at Richmond St. W.), Toronto ON M5V 2L7",VeryLikelyOpen,915,43.640722,-79.391051
Hey Lucy Cafe,"295 King St W (at John St.), Toronto ON M5V 1J5",LikelyOpen,640,43.640722,-79.391051
Jz's Pizza,"232 Wellington St W, Toronto ON M5V 3W1",VeryLikelyOpen,521,43.640722,-79.391051
Panago Pizza Inc,"133 Bremner Blvd, Toronto ON M5J 3A7",VeryLikelyOpen,643,43.640722,-79.391051
Boston Pizza,"250 Front St W (John St), Toronto ON M5V 3G5",LikelyOpen,436,43.640722,-79.391051
Domino's Pizza,"51 Niagara St (at Bathurst St), Toronto ON M5V 1C3",LikelyOpen,893,43.640722,-79.391051
Mamma's Pizza,"405 Richmond St W (at Spadina Ave.), Toronto ON M5V 1X3",LikelyOpen,883,43.640722,-79.391051
Pizza Rustica,"37 Blue Jays Way, Toronto ON M5V 9G9",VeryLikelyOpen,470,43.640722,-79.391051
Pie Bar,"207 Queens Quay W, Toronto ON M5J 1A7",LikelyOpen,890,43.640722,-79.391051
Pizza Nova,"365 Front St W (at Blue Jay Way), Toronto ON M5V 3R6",LikelyOpen,270,43.640722,-79.391051
Il Fornello,"214 King St W (at Simcoe St.), Toronto ON M5H 3S6",LikelyOpen,811,43.640722,-79.391051
Pizza Pizza,"208 Queens Quay W, Toronto ON M5J 2Y5",VeryLikelyOpen,752,43.640722,-79.391051
Pizza Nova,"1 Blue Jays Way, Toronto ON M5V 1J3",LikelyOpen,272,43.640722,-79.391051
Domino's Pizza,"344 Front St W (Spadina), Toronto ON M5V 3W7",VeryLikelyOpen,319,43.640722,-79.391051
Pizza Pizza,"Food Court Union, Toronto ON",LikelyOpen,886,43.640722,-79.391051
Pizzeria Moretti,"328 Wellington St W (Blue Jays Way), Toronto ON M5V 3T4",VeryLikelyOpen,443,43.640722,-79.391051
Pizza Pizza,"340 Front St W (Blue Jays Way), Toronto ON M5V 3W7",LikelyOpen,298,43.640722,-79.391051
Mamma's Pizza,"249 Queens Quay E, Toronto ON M5A 0V9",LikelyOpen,492,43.640722,-79.391051
Pizza Rustica Boutique,"232 Wellington St W (John), Toronto ON M5V 3W1",LikelyOpen,500,43.640722,-79.391051
Delissio Rustico Pop-Up,"363 King St W, Toronto ON M5V 1K1",LikelyOpen,567,43.640722,-79.391051
Rising Sun Entertainment,"550 Queens Quay W, Toronto ON M5V 3M8",Unsure,617,43.640722,-79.391051
Pizzaiolo,"123 Spadina Ave, Toronto ON M5V 2K8",LikelyOpen,794,43.640722,-79.391051
Pi Co,"130 Spadina Ave, Toronto ON M5V 2L4",LikelyOpen,865,43.640722,-79.391051
Pizza Forno,"217 Adelaide St W, Toronto ON M5H 1W7",LikelyOpen,871,43.640722,-79.391051
Pizzaiolo,"615 King St W (Bathurst), Toronto ON M5V 1M5",VeryLikelyOpen,873,43.640722,-79.391051
Aces Pizza,"26 Duncan St, Toronto ON M5V 2B9",LikelyOpen,897,43.640722,-79.391051
Pizzaiolo Gourmet Pizza,"521 King St W, Toronto ON M5V 1K4",LikelyOpen,733,43.640722,-79.391051
Pizzaface Italian Bar + Kitchen,"221 Richmond St W, Toronto ON M5V 1W2",LikelyOpen,945,43.640722,-79.391051
Qui Ristorante Pizzeria | Best pasta near me in Toronto,"1654 Stclair Ave W, Toronto ON M6N 1H8",LikelyOpen,963,43.640722,-79.391051
Pizza Pizza,"540 King St W, Toronto ON M5V 1M3",LikelyOpen,730,43.640722,-79.391051
Panzerotto Pizza,"404 Queen St W, Toronto ON M5V 2A6",LikelyOpen,978,43.640722,-79.391051
241 Pizza,"327 Queen St E, Toronto ON M5A 1S9",LikelyOpen,980,43.640722,-79.391051
Pizza Pizza,"20 Blue Jays Way, Toronto ON M5V 3W6",Unsure,347,43.640722,-79.391051
Boston Pizza,"11 Channel Ave, Toronto ON M5J 1Y6",LikelyOpen,444,43.640722,-79.391051
Filet of Sole Sea Grill Ltd,"321 King St E, Toronto ON M5A 1L1",Unsure,613,43.640722,-79.391051
General Assembly,"331 Adelaide St W, Toronto ON M5V 1R5",LikelyOpen,484,43.643834,-79.396649
Maker Pizza,"55A Cameron St, Toronto ON M5T 2H1",LikelyOpen,715,43.643834,-79.396649
Fusaro's Kitchen,"147 Spadina Ave (at Richmond St. W.), Toronto ON M5V 2L7",VeryLikelyOpen,478,43.643834,-79.396649
North of Brooklyn Pizzeria,"650 1/2 Queen St W (Palmerston Ave), Toronto ON M6J 1E4",LikelyOpen,868,43.643834,-79.396649
Hey Lucy Cafe,"295 King St W (at John St.), Toronto ON M5V 1J5",LikelyOpen,605,43.643834,-79.396649
Pizzaiolo,"3 Rees St (Queens Quay), Toronto ON M5V 3J2",LikelyOpen,964,43.643834,-79.396649
Domino's Pizza,"51 Niagara St (at Bathurst St), Toronto ON M5V 1C3",LikelyOpen,492,43.643834,-79.396649
Jz's Pizza,"232 Wellington St W, Toronto ON M5V 3W1",VeryLikelyOpen,583,43.643834,-79.396649
Mamma's Pizza,"405 Richmond St W (at Spadina Ave.), Toronto ON M5V 1X3",LikelyOpen,463,43.643834,-79.396649
Boston Pizza,"250 Front St W (John St), Toronto ON M5V 3G5",LikelyOpen,651,43.643834,-79.396649
Big Trouble Pizza,"235 Spadina Ave (Dundas St. W), Toronto ON M5T 2E2",LikelyOpen,828,43.643834,-79.396649
Pizza Rustica,"37 Blue Jays Way, Toronto ON M5V 9G9",VeryLikelyOpen,404,43.643834,-79.396649
Pizzaiolo,"609 Queen St W (Bathurst), Toronto ON M5V 2B7",Unsure,641,43.643834,-79.396649
Il Fornello,"214 King St W (at Simcoe St.), Toronto ON M5H 3S6",LikelyOpen,886,43.643834,-79.396649
Pizza Nova,"365 Front St W (at Blue Jay Way), Toronto ON M5V 3R6",LikelyOpen,383,43.643834,-79.396649
Pizzaiolo,"123 Spadina Ave, Toronto ON M5V 2K8",LikelyOpen,380,43.643834,-79.396649
Pizzaiolo Gourmet Pizza,"521 King St W, Toronto ON M5V 1K4",LikelyOpen,165,43.643834,-79.396649
Pizza Pizza,"540 King St W, Toronto ON M5V 1M3",LikelyOpen,165,43.643834,-79.396649
Pizzaiolo,"615 King St W (Bathurst), Toronto ON M5V 1M5",VeryLikelyOpen,337,43.643834,-79.396649
Pizzeria Moretti,"328 Wellington St W (Blue Jays Way), Toronto ON M5V 3T4",VeryLikelyOpen,342,43.643834,-79.396649
Pizza Hut,"720 King St W, Toronto ON M5V 2T3",LikelyOpen,628,43.643834,-79.396649
Domino's Pizza,"344 Front St W (Spadina), Toronto ON M5V 3W7",VeryLikelyOpen,370,43.643834,-79.396649
Delissio Rustico Pop-Up,"363 King St W, Toronto ON M5V 1K1",LikelyOpen,393,43.643834,-79.396649
Pi Co,"130 Spadina Ave, Toronto ON M5V 2L4",LikelyOpen,410,43.643834,-79.396649
Panzerotto Pizza,"404 Queen St W, Toronto ON M5V 2A6",LikelyOpen,504,43.643834,-79.396649
Domino's Pizza,"410 Queen St W, Toronto ON M5V 2A7",VeryLikelyOpen,548,43.643834,-79.396649
Pizza Rustica Boutique,"232 Wellington St W (John), Toronto ON M5V 3W1",LikelyOpen,604,43.643834,-79.396649
Pizza Pizza,"340 Front St W (Blue Jays Way), Toronto ON M5V 3W7",LikelyOpen,436,43.643834,-79.396649
Pizza Aiolo,"609 Queen St W, Toronto ON M5V 2B7",LikelyOpen,613,43.643834,-79.396649
Amato Pizza on Queen,"534 Queen St W, Toronto ON M5V 2B5",LikelyOpen,626,43.643834,-79.396649
Pizza Thick & the Ice Cream Bake Shop,"536 Queen St W, Toronto ON M5V 2B5",LikelyOpen,641,43.643834,-79.396649
Pizzaiolo,"624 Queen St W, Toronto ON M6J 1E4",LikelyOpen,796,43.643834,-79.396649
Freshslice Pizza,"744 King St W, Toronto ON M5V 1N3",LikelyOpen,667,43.643834,-79.396649
Qui Ristorante Pizzeria | Best pasta near me in Toronto,"1654 Stclair Ave W, Toronto ON M6N 1H8",LikelyOpen,672,43.643834,-79.396649
Pizza Pizza,"655 Queen St W, Toronto ON M6J 1E6",LikelyOpen,703,43.643834,-79.396649
241 Pizza,"327 Queen St E, Toronto ON M5A 1S9",LikelyOpen,736,43.643834,-79.396649
Rising Sun Entertainment,"550 Queens Quay W, Toronto ON M5V 3M8",Unsure,765,43.643834,-79.396649
Pizza Nova,"1 Blue Jays Way, Toronto ON M5V 1J3",LikelyOpen,775,43.643834,-79.396649
Aces Pizza,"26 Duncan St, Toronto ON M5V 2B9",LikelyOpen,813,43.643834,-79.396649
Pizzaface Italian Bar + Kitchen,"221 Richmond St W, Toronto ON M5V 1W2",LikelyOpen,831,43.643834,-79.396649
Pizza Forno,"217 Adelaide St W, Toronto ON M5H 1W7",LikelyOpen,863,43.643834,-79.396649
Pizza Pizza,"228 Queen St W, Toronto ON M5V 1Z6",VeryLikelyOpen,878,43.643834,-79.396649
Pizza Pizza,"20 Blue Jays Way, Toronto ON M5V 3W6",Unsure,398,43.643834,-79.396649
Filet of Sole Sea Grill Ltd,"321 King St E, Toronto ON M5A 1L1",Unsure,542,43.643834,-79.396649
Boston Pizza,"11 Channel Ave, Toronto ON M5J 1Y6",LikelyOpen,657,43.643834,-79.396649
Nino d'Aversa Bakery Ltd,"1 Toro Rd (at Keele St.), Toronto ON M3J 2A4",LikelyOpen,897,43.76073963892478,-79.5000273116394
Student Pizza & Curry Inc,"45 Four Winds Dr, North York ON M3J 1K7",LikelyOpen,337,43.76073963892478,-79.5000273116394
