Name,Address,Closed bucket,Distance,Latitude,Longitude
Rosedale's Finest,"408 Summerhill Ave, Toronto ON M4W 2E4",LikelyOpen,27,43.685924,-79.376304
Dolce Bakery,"420 Summerhill Ave, Toronto ON M4W 2E4",LikelyOpen,38,43.685924,-79.376304
Kirkwood's Rib Joint,"56 Bennington Heights Dr, Toronto ON M4G 1A9",LikelyOpen,876,43.685924,-79.376304
Holly Berry Fair,"159 Roxborough Dr, Toronto ON",LikelyOpen,381,43.685924,-79.376304
Delina Restaurant,"1891 Queen St E (Woodbine), Toronto ON M4L 1H3",LikelyOpen,248,43.6677628,-79.30811709999999
Bud's Coffee Bar,"1934 Queen St E (Kenilworth), Toronto ON M4L 1H8",VeryLikelyOpen,557,43.6677628,-79.30811709999999
Breakwall,"1910 Queen St E, Toronto ON M4L 1H3",VeryLikelyOpen,339,43.6677628,-79.30811709999999
Zane Patisserie,"1852 Queen St E (Brookmount), Toronto ON M4L 1H1",LikelyOpen,89,43.6677628,-79.30811709999999
Brett's Ice Cream,"1698 Queen St W, Scarborough ON M6R 1B3",LikelyOpen,380,43.6677628,-79.30811709999999
Cinamon Indian Bistro,"1966A Queen St E (at Kenilworth Ave), Toronto ON M4L 1H8",LikelyOpen,549,43.6677628,-79.30811709999999
The Burger's Priest,"1636 Queen St E (btwn Coxwell Ave. & Kingston Rd.), Toronto ON M4L 1G3",VeryLikelyOpen,608,43.6677628,-79.30811709999999
British Style Fish & Chips,"73 Coxwell Ave (Dundas St & Coxwell St), Toronto ON M4L 3B1",LikelyOpen,741,43.6677628,-79.30811709999999
Sunset Grill Restaurant,"2006 Queen St E (at Lee Ave.), Toronto ON M4L 1J3",LikelyOpen,732,43.6677628,-79.30811709999999
Casa Di Giorgios,"1646 Queen St E (at Eastern Ave,), Toronto ON M4L 1G3",VeryLikelyOpen,583,43.6677628,-79.30811709999999
Harvey's,"1641 Queen St E, Toronto ON M4L 1G4",LikelyOpen,579,43.6677628,-79.30811709999999
Gull and Firkin,"1943 Queen St E (at Kenilworth Ave.), Toronto ON M4L 1H7",VeryLikelyOpen,468,43.6677628,-79.30811709999999
Burrito Bandidos,"1614 Queen St E (Coxwell Ave.), Toronto ON M4L 1G3",LikelyOpen,682,43.6677628,-79.30811709999999
Popeye's Louisiana Kitchen,"1955 Queen St E (Kenilworth Ave), Toronto ON M4L 1H7",LikelyOpen,499,43.6677628,-79.30811709999999
Sauvignon Bistro & Bakery Inc,"1862 Queen St E (Woodbine), Toronto ON M4L 1H1",LikelyOpen,118,43.6677628,-79.30811709999999
Aki Da Japanese Seafood House,"1911 Queen St E, Toronto ON M4L 1H3",Unsure,321,43.6677628,-79.30811709999999
Tim Hortons,"2002 Queen St E (Bellefair Ave), Toronto ON M4L 1J3",VeryLikelyOpen,737,43.6677628,-79.30811709999999
Bikkuri Japanese Restaurant,"2197 Queen St E (at Leuty Av), Toronto ON M4E 1E5",LikelyOpen,959,43.6677628,-79.30811709999999
Wok n' Grill,"196 Woodbine Ave (Woodbine Avenue & Queen Street East), Toronto ON",LikelyOpen,203,43.6677628,-79.30811709999999
Pizza Hut,"2070 Queen St E, Toronto ON M4E 1C9",LikelyOpen,941,43.6677628,-79.30811709999999
Twins' Grill,"196 Woodbine Ave, Toronto ON M4L 3P1",LikelyOpen,233,43.6677628,-79.30811709999999
Subway,"1599 Queen St E, Toronto ON M4L 1E5",LikelyOpen,731,43.6677628,-79.30811709999999
Maestro Omar's Gourmet Pizza,"66 Kingston Rd, Toronto ON M4L 1S4",LikelyOpen,334,43.6677628,-79.30811709999999
Salty Dog Bar & Grill,"1980 Queen St E (Waverley Ave), Toronto ON M4L 1J2",LikelyOpen,629,43.6677628,-79.30811709999999
The Yard Public House,"1961 Queen St E, Toronto ON M4L 1H7",LikelyOpen,517,43.6677628,-79.30811709999999
The Thai Grill,"1959 Queen St E (at Kenilworth Av.), Toronto ON M4L 1H7",Unsure,524,43.6677628,-79.30811709999999
Limon,"1968 Queen St E, Toronto ON M4L 1H8",VeryLikelyOpen,565,43.6677628,-79.30811709999999
The Aroma Shoppe Ltd,"1970 Queen St E (Kenilworth Avenue), Toronto ON M4L 1H8",LikelyOpen,568,43.6677628,-79.30811709999999
Restaurant Tiflisi,"1970 Queen St E, Toronto ON M4L 1H8",LikelyOpen,568,43.6677628,-79.30811709999999
The Big Bruce,"1963 Queen St E (Kenilworth Ave), Toronto ON M4L 1H9",LikelyOpen,570,43.6677628,-79.30811709999999
Mira Mira Diner,"1963 Queen St E (Kenilworth Ave), Toronto ON M4L 1H9",VeryLikelyOpen,570,43.6677628,-79.30811709999999
Hero Certified Burgers,"2018 Queen St E, Toronto ON M4L 1J3",LikelyOpen,771,43.6677628,-79.30811709999999
Breakfast Club,"1681 Lake Shore Blvd E (at Northern Dancer Blvd), Toronto ON M4L 3W6",LikelyOpen,583,43.6677628,-79.30811709999999
Toronto Beach Club,"1681 Lake Shore Blvd E, Toronto ON M4L 3W6",LikelyOpen,594,43.6677628,-79.30811709999999
Oyabong Sushi,"1976 Queen St E, Toronto ON M4L 1H8",LikelyOpen,607,43.6677628,-79.30811709999999
Feast Your Eyes! Catering and Event Design,"175 Kenilworth Ave, Toronto ON M4L 3S7",LikelyOpen,608,43.6677628,-79.30811709999999
The Gastro Pub,"1987 Queen St E, Toronto ON M4L 1J1",LikelyOpen,675,43.6677628,-79.30811709999999
Amma Roti House,"2014 Queen St E (across from Kew Gardens), Toronto ON M4L 1J3",Unsure,764,43.6677628,-79.30811709999999
Jaclyn's,"1588 Queen St E, Toronto ON M4L 1G1",LikelyOpen,825,43.6677628,-79.30811709999999
Shakes and Franks,"2032 Queen St E, Toronto ON M4L 1J4",LikelyOpen,839,43.6677628,-79.30811709999999
Sidhartha Indian Resturaunt,"1450 Gerrard St E (gerrard and coxwell), Toronto ON M4L 1Z8",LikelyOpen,863,43.6677628,-79.30811709999999
Honey Bee Restaurant,"2028 Queen St E (Lee Ave), Toronto ON M4L 1J4",LikelyOpen,832,43.6677628,-79.30811709999999
McDonald's,"31 Woodward Ave (btw Queen St. E & Eastern Ave.), Toronto ON M9N 2J3",VeryLikelyOpen,932,43.6677628,-79.30811709999999
Honeybee Restaurant,"1976 Queen St E, Toronto ON M4L 1H8",LikelyOpen,612,43.6677628,-79.30811709999999
Makkah Restaurant,"2980 Danforth Ave (Donlands Ave), Toronto ON M4C 1M6",LikelyOpen,276,43.691468,-79.288619
Duckworth's Fish & Chips,"2638 Danforth Ave (Main St.), Toronto ON M4C 1L7",LikelyOpen,952,43.691468,-79.288619
Tim Hortons,"2480 Gerrard St E (at Victoria Park Ave.), Scarborough ON M1N 4C3",VeryLikelyOpen,500,43.691468,-79.288619
