Name,Address_x,Closed bucket,Distance_x,Latitude,Longitude,Address_y,Rating,Distance_y
Casa Di Giorgios,"1646 Queen St E (at Eastern Ave,), Toronto ON M4L 1G3",VeryLikelyOpen,583,43.6677628,-79.30811709999999,"1646 Queen St E Toronto, ON M4L 1G3 Canada ",3.7,578.8137219690794
Pizza Hut,"2070 Queen St E, Toronto ON M4E 1C9",LikelyOpen,941,43.6677628,-79.30811709999999,"609 A Kingston Road Toronto, ON M4E 1R3 Canada ",3.0,1433.180358202948
Pizza Nova,"1928 Queen St E (at Elmer Ave), Toronto ON M4L 1H5",LikelyOpen,387,43.6677628,-79.30811709999999,"1928 Queen Street E Toronto, ON M4L 1H5 Canada ",2.8,395.54439871925706
Pizza Nova,"1928 Queen St E (at Elmer Ave), Toronto ON M4L 1H5",LikelyOpen,387,43.6677628,-79.30811709999999,"1614 Queen Street E Toronto, ON M4L 1G4 Canada ",2.7,687.146480761532
Pizzaville,"1971 Queen St E, Toronto ON M4L 1H9",VeryLikelyOpen,593,43.6677628,-79.30811709999999,"1971 Queen Street E Toronto, ON M4L 1H9 Canada ",2.0,591.213407175658
Pizza Pizza,"2795 Danforth Ave (btwn Trent Ave & Kelvin Ave), Toronto ON M4C 1M2",LikelyOpen,611,43.691468,-79.288619,"2795 Danforth Avenue Toronto, ON M4C 1M2 Canada ",1.8,606.218337511363
Pizza Pizza,"2795 Danforth Ave (btwn Trent Ave & Kelvin Ave), Toronto ON M4C 1M2",LikelyOpen,611,43.691468,-79.288619,"1054 Kingston Road Scarborough, ON M1N 1N4 Canada ",2.4,1241.8435173029395
Reginos Pizza,"3331 Danforth Ave, Toronto ON M1L 1C5",LikelyOpen,610,43.691468,-79.288619,"3331 Danforth Avenue Scarborough, ON M1L 1C5 Canada ",3.2,664.3266023913686
Pizza Pizza,"2795 Danforth Ave, Toronto ON M4C 1M2",LikelyOpen,597,43.691468,-79.288619,"2795 Danforth Avenue Toronto, ON M4C 1M2 Canada ",1.8,606.218337511363
Pizza Pizza,"2795 Danforth Ave, Toronto ON M4C 1M2",LikelyOpen,597,43.691468,-79.288619,"1054 Kingston Road Scarborough, ON M1N 1N4 Canada ",2.4,1241.8435173029395
Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",VeryLikelyOpen,971,43.640722,-79.391051,"545 King Street W Toronto, ON M5V 1M1 Canada ",4.0,735.7897563748933
Pizzeria Libretto,"155 University Ave (at Pearl St), Toronto ON M5H 3B7",VeryLikelyOpen,971,43.640722,-79.391051,"155 University Avenue Toronto, ON M5H 3B7 Canada ",3.7,1008.95991447752
Fusaro's Kitchen,"147 Spadina Ave (at Richmond St. W.), Toronto ON M5V 2L7",VeryLikelyOpen,915,43.640722,-79.391051,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.1,900.4980152865746
Jz's Pizza,"232 Wellington St W, Toronto ON M5V 3W1",VeryLikelyOpen,521,43.640722,-79.391051,"232 Wellington Street W Toronto, ON M5V 3W1 Canada ",4.1,517.9355810865333
Boston Pizza,"250 Front St W (John St), Toronto ON M5V 3G5",LikelyOpen,436,43.640722,-79.391051,"250 Front Street  W Unit 1C201 Toronto, ON M5V 3G5 Canada ",2.7,429.86235473695314
Domino's Pizza,"51 Niagara St (at Bathurst St), Toronto ON M5V 1C3",LikelyOpen,893,43.640722,-79.391051,"344 Front Street W Unit 107 Toronto, ON M5V 3W7 Canada ",1.7,307.4926749857708
Mamma's Pizza,"405 Richmond St W (at Spadina Ave.), Toronto ON M5V 1X3",LikelyOpen,883,43.640722,-79.391051,"249 Queens Quay W Toronto, ON M5J 2N5 Canada ",3.8,447.5023321694711
Pizza Rustica,"37 Blue Jays Way, Toronto ON M5V 9G9",VeryLikelyOpen,470,43.640722,-79.391051,"37 Blue Jays Way Toronto, ON M5V 9G9 Canada ",2.4,477.4560040416046
Pie Bar,"207 Queens Quay W, Toronto ON M5J 1A7",LikelyOpen,890,43.640722,-79.391051,"207 Queens Quay W Suite 155 Toronto, ON M5J Canada ",3.4,894.3817885077477
Pizza Nova,"365 Front St W (at Blue Jay Way), Toronto ON M5V 3R6",LikelyOpen,270,43.640722,-79.391051,"365 Front St W Toronto, ON M5V 3S8 Canada ",3.5,270.8733076209406
Pizza Pizza,"208 Queens Quay W, Toronto ON M5J 2Y5",VeryLikelyOpen,752,43.640722,-79.391051,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,745.216497346054
Pizza Nova,"1 Blue Jays Way, Toronto ON M5V 1J3",LikelyOpen,272,43.640722,-79.391051,"365 Front St W Toronto, ON M5V 3S8 Canada ",3.5,270.8733076209406
Domino's Pizza,"344 Front St W (Spadina), Toronto ON M5V 3W7",VeryLikelyOpen,319,43.640722,-79.391051,"344 Front Street W Unit 107 Toronto, ON M5V 3W7 Canada ",1.7,307.4926749857708
Pizza Pizza,"Food Court Union, Toronto ON",LikelyOpen,886,43.640722,-79.391051,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,745.216497346054
Pizzeria Moretti,"328 Wellington St W (Blue Jays Way), Toronto ON M5V 3T4",VeryLikelyOpen,443,43.640722,-79.391051,"328 Wellington Street W The SoHo Hotel Toronto, ON M5V 3T4 Canada ",3.3,463.6983725735951
Pizza Pizza,"340 Front St W (Blue Jays Way), Toronto ON M5V 3W7",LikelyOpen,298,43.640722,-79.391051,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,745.216497346054
Mamma's Pizza,"249 Queens Quay E, Toronto ON M5A 0V9",LikelyOpen,492,43.640722,-79.391051,"249 Queens Quay W Toronto, ON M5J 2N5 Canada ",3.8,447.5023321694711
Pi Co,"130 Spadina Ave, Toronto ON M5V 2L4",LikelyOpen,865,43.640722,-79.391051,"60 Colborne Street Toronto, ON M5E 0B7 Canada ",4.0,1641.73359745192
Pizza Pizza,"540 King St W, Toronto ON M5V 1M3",LikelyOpen,730,43.640722,-79.391051,"540 King Street W Toronto, ON M5V 1M3 Canada ",2.4,745.216497346054
