Name,Address,Rating,Distance,Latitude,Longitude
Dolce Bakery,"420 Summerhill Avenue Toronto, ON M4W 2E4 Canada ",4.3,25.650316265688087,43.685924,-79.376304
Capocaccia Trattoria,"1366 Yonge Street Toronto, ON M4T 3A7 Canada ",3.4,1357.7169658782802,43.685924,-79.376304
Boccone Deli & Pizza,"1378 Yonge Street Toronto, ON M4T 1Y5 Canada ",3.9,1386.3446418143878,43.685924,-79.376304
Portici,"6 Scollard Street Toronto, ON M5R 1E9 Canada ",4.1,1773.0409191166214,43.685924,-79.376304
Brownes Bistro,"1251 Yonge Street Toronto, ON M4T Canada ",2.9,1284.515407574412,43.685924,-79.376304
Pi Co,"102 Danforth Avenue Toronto, ON M4K 1N1 Canada ",3.1,1783.7166325949022,43.685924,-79.376304
Domino's Pizza,"1272 Yonge Street Toronto, ON M4T 1W5 Canada ",2.3,1325.2931853956586,43.685924,-79.376304
Pizzaiolo - The Pizza Maker's Pizza,"13 St. Clair Avenue West Toronto, ON M4V 1K6 Canada ",2.7,1490.3429675070022,43.685924,-79.376304
Pizza Pizza,"85 Danforth Avenue Toronto, ON M4K 1M9 Canada ",2.1,1776.4692169972182,43.685924,-79.376304
Pizza Pizza,"1521 Yonge Street Toronto, ON M4T 1Z2 Canada ",2.1,1512.3795501752338,43.685924,-79.376304
Pizza Hut,"1086 Yonge Street Toronto, ON M4W 2L4 Canada ",1.8,1435.8959344018845,43.685924,-79.376304
Pizzaiolo - The Pizza Maker's Pizza,"110 Danforth Avenue Toronto, ON M4K 1N1 Canada ",3.0,1784.4788929956808,43.685924,-79.376304
Pizzeria Via Mercanti,"124 Danforth Avenue Toronto, ON M4K 1N1 Canada ",2.0,1799.7406101129702,43.685924,-79.376304
Panzerotto Pizza,"1446 Yonge St Toronto, ON M4T 1Y5 Canada ",0.0,1433.7539970152143,43.685924,-79.376304
Panzerotto & Pizza,"1523 Yonge Street Toronto, ON M4T 1Z2 Canada ",0.0,1518.1328854493872,43.685924,-79.376304
Casa Di Giorgios,"1646 Queen St E Toronto, ON M4L 1G3 Canada ",3.7,578.8137219690794,43.6677628,-79.30811709999999
Tulia Osteria,"1402 Queen Street E Toronto, ON M4L 1C9 Canada ",4.2,1342.00983053593,43.6677628,-79.30811709999999
Pizzeria No.900,"1987 Queen Street E Toronto, ON M4L 1J1 Canada ",4.5,693.1632967775345,43.6677628,-79.30811709999999
Mattachioni,"1501 Gerrard St E Toronto, ON M4L 2A4 Canada ",4.1,1080.975727346799,43.6677628,-79.30811709999999
Maestro Omar’s Gourmet Pizza,"66 Kingston Road Toronto, ON M4L 1S4 Canada ",3.4,330.97111954766143,43.6677628,-79.30811709999999
Blue River House,"1929 Gerrard Street E Toronto, ON M4L 2C2 Canada ",4.7,1432.8360068310842,43.6677628,-79.30811709999999
6ix Pizzas,"2070 Queen Street E Toronto, ON M4E 1C9 Canada ",3.1,952.1461160287188,43.6677628,-79.30811709999999
Pizza Nova,"1928 Queen Street E Toronto, ON M4L 1H5 Canada ",2.8,395.54439871925706,43.6677628,-79.30811709999999
Pizza Nova,"1614 Queen Street E Toronto, ON M4L 1G4 Canada ",2.7,687.146480761532,43.6677628,-79.30811709999999
Double Double Pizza Chicken,"1928 Queen St E Toronto, ON M4L 1H5 Canada ",0.0,395.54439871925706,43.6677628,-79.30811709999999
