Bike_Station,Number_of_Restaurants,Average_Rating,Total_Bikes
111 Bond St (North of Dundas St E)  - SMART,50,3.8819999999999997,350
128 Sterling Rd - SMART,48,3.0083333333333333,0
1303 Yonge St - SMART,22,2.390909090909091,0
135 Queens Wharf Rd - SMART,50,3.46,0
14 Arundel Ave,34,3.0500000000000003,612
144 Harrison St,50,3.83,1650
15 Price St ,35,2.7342857142857144,0
16 Riverview Gardens ,14,2.7285714285714286,336
161 Bleecker St (South of Wellesley),50,3.386,850
1612 Danforth Ave ,23,2.773913043478261,92
165 McRae Dr,13,2.869230769230769,78
200 Bloor St E,50,3.252,0
21 Pleasant Blvd (2),18,2.772222222222222,0
24 Mountjoy Ave,28,3.067857142857143,112
25 Booth Ave,15,3.94,180
2700 Eglinton Ave W,17,2.9176470588235297,646
285 Victoria St,50,3.8280000000000003,900
3220 Bloor St W,11,3.1363636363636362,242
385 Pacific Ave,33,3.196969696969697,627
420 Wellington St W,50,3.63,0
439 Sherbourne St,50,3.4739999999999998,650
50 Overlea Blvd,9,2.6444444444444444,9
519 Church St - SMART,50,3.65,50
60 Broadway Ave,29,2.889655172413793,29
640 Bloor Street E,33,2.496969696969697,165
75 Holly St,29,2.889655172413793,0
80 Clinton St,50,3.8560000000000003,50
800 Fleet St (South),50,3.4139999999999997,400
85 Lee Ave,16,2.55,240
Adelaide St W / Bay St,50,3.67,0
Adelaide St W / Bay St (South),50,3.6459999999999995,100
Adelaide St W / Yonge St,50,3.662,250
Adelaide St W / York St ,50,3.6180000000000003,0
Alma Ave / Gladstone Ave SMART,50,3.372,150
Alton Ave / Dundas St E (Greenwood Park),31,3.512903225806452,558
Alvin Ave / St Clair Ave E,17,2.8058823529411767,0
Ancaster Rd / Spalding Rd,9,2.5444444444444443,0
Annette St / Jane St,25,3.092,0
Antler St / Campbell Ave - SMART,42,2.9571428571428573,0
Armel Ct / Albion Rd,6,0.48333333333333334,0
Augusta Ave / Denison Sq,50,3.822,0
Avenue Rd / Oxton Ave ,37,2.7729729729729726,37
Baldwin St / Henry St,50,3.932,200
Bartley Park ,12,1.6583333333333334,12
Bathurst St / Adelaide St W,50,3.6319999999999997,500
Bathurst St / Lennox St,50,3.484,0
Bathurst St/Queens Quay(Billy Bishop Airport),50,3.306,1400
Bay St / Albert St,50,3.758,400
Bay St / Bloor St W (East Side),50,3.51,50
Bay St / Bloor St W (West Side),50,3.51,0
Bay St / Charles St W - SMART,50,3.53,0
Bay St / College St (East Side),50,3.946,200
Bay St / Scollard St,50,3.2,100
Bay St / Wellesley St W,50,3.8080000000000003,100
Bayview Ave / Lawren Harris Square,41,3.1146341463414635,287
Bellamy Rd N / The Meadoway,15,2.26,75
Bellamy Rd S / Kingston Rd,8,2.5625,48
Bellwoods Ave / Treford Pl - SMART,50,3.952,150
Berry Rd / Bell Manor Dr,17,2.3588235294117648,102
Bert Robinson Park,25,2.6519999999999997,0
Blake St / Boultbee Ave,34,3.4176470588235297,102
Bleecker St / St James Ave,50,3.424,100
Bloor St E / Huntley St - SMART,50,3.252,50
Bloor St E / Parliament St,50,3.1,0
Bloor St W / Balmuto St,50,3.47,50
Bloor St W / Dundas St W (2),17,3.523529411764706,17
Bloor St W / Gladstone Ave - SMART,50,3.1260000000000003,100
Bloor St W / Huron St,50,3.592,100
Blythwood Rd / Yonge St - SMART,33,2.9272727272727272,33
Brahms Ave / Finch Ave E,5,3.44,5
Bremner Blvd / Rees St,50,3.5439999999999996,500
Brick Works,16,2.75625,112
Bridgman Ave / Bathurst St,43,2.8976744186046512,129
Brooklawn Ave / Kingston Rd,6,1.9833333333333334,0
Cariboo Ave / Railpath Trail,44,2.9431818181818183,0
Carlaw Ave / Strathcona Ave,36,3.308333333333333,216
Carlton St / Parliament St,50,3.2460000000000004,250
Charles St E / Jarvis St - SMART,50,3.4739999999999998,50
Charles St W / Balmuto St - SMART,50,3.5959999999999996,0
Cherry St / Polson St,11,2.881818181818182,253
Chiltern Hill Rd / Eglinton Ave W,19,2.0842105263157897,19
Chorley Park - SMART,13,3.0615384615384613,13
Church St  / Wood St,50,3.77,350
