name,latitude,longitude,number_of_bikes
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,0
Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,10
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,5
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,3
420 Wellington St W,43.643834,-79.396649,11
Sentinel Rd / Finch Ave W,43.76073963892478,-79.5000273116394,0
Ross St / Cecil St - SMART,43.6568254,-79.3966159,2
York University Station (North),43.7741,-79.5005,0
Dundas St W / Yonge St,43.656094,-79.381484,25
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,2
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,7
Jane St / Sheppard Ave W,43.73901341370186,-79.51286317927207,0
144 Harrison St,43.651145,-79.423742,20
Wellington St W / Bay St,43.647259,-79.379878,36
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,13
161 Bleecker St (South of Wellesley),43.666233,-79.373327,22
Bay St / Scollard St,43.672152,-79.39018,7
Pape Ave / Gamble Ave,43.690237,-79.350119,8
Queen St E / Hammersmith Ave,43.671349,-79.29451,9
Walnut Ave / Queen St W,43.645469,-79.411084,8
Queen St E / Pape Ave - SMART,43.661673,-79.337789,7
Tecumseth St / Tecumseth Pl,43.642697996199985,-79.4049993694586,2
Davenport Rd / Lansdowne Ave,43.671526,-79.44874,2
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,19
Fenwood Ht / Kingston Rd,43.72690169821676,-79.22920396582664,11
Rouge Hill GO Station,43.7805505,-79.1301203,11
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,12
Bremner Blvd / Rees St,43.641529,-79.386741,37
Willowdale Ave / Bishop Ave ,43.78387252467251,-79.40786809814757,1
Plaxton Dr / St Clair Ave E,43.70751755961952,-79.30252066313936,1
Front St W / University Ave (2),43.6452972,-79.3827914,16
Jarvis St / Richmond St E,43.652777,-79.372637,15
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,13
Dundas St E / River St,43.661152,-79.358505,4
St Clair Ave W / Symes Rd,43.670042134416704,-79.4789424818056,1
Yarmouth Rd / Christie St,43.67,-79.42083333333333,1
Dufferin Gate - SMART,43.633473,-79.425679,16
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,4
Niagara St / King St W - SMART,43.64281323408372,-79.40751415588915,3
Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,0
Princes' Blvd / Nunavut Rd,43.6333523484014,-79.41436313073005,13
Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,7
Harbord St / Grace St (Bickford Park),43.65995363518053,-79.41787388888551,1
Alvin Ave / St Clair Ave E,43.68871,-79.39264,5
385 Pacific Ave,43.6651094724602,-79.46833581423087,16
Chorley Park - SMART,43.6856,-79.3718,1
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,28
Yonge St / Davisville Ave,43.6975969,-79.39654,1
Berry Rd / Bell Manor Dr,43.63732,-79.489083,6
Adelaide St W / York St ,43.6491919790139,-79.38363237427446,9
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,26
St Clarens Ave / Shirley St,43.6486599,-79.4376413,1
Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,7
Cumberland St / Bay St -  SMART,43.6704537,-79.39014,5
Overlea Blvd / Thorncliffe Park Dr,43.707555968595464,-79.34272024477463,9
Kempford Blvd / Yonge St,43.776857235099826,-79.4151161430729,0
Bay St / Albert St,43.653264,-79.382458,54
Jack Layton Ferry Terminal,43.64103161936887,-79.37670442726134,2
High Park Outdoor Pool,43.650154,-79.464934,1
800 Fleet St (South),43.63670985212708,-79.40880517790985,14
McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,1
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,21
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,1
Niagara St / Tecumseth St,43.641389,-79.404444,2
Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,7
Oakdale Community Centre,43.74751496038769,-79.5132569853195,0
Trinity St /Front St E,43.651318,-79.36023,19
Finch Ave E / Upper Don Recreational Trail ,43.78893788312306,-79.37488868750592,0
Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,0
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,3
Swansea Community Centre,43.6438036,-79.4770327,7
The Queensway / High St,43.630874,-79.482407,14
Esther Shiner Stadium,43.7774374,-79.4447096,0
Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,1
College Park - Gerrard Entrance,43.658938,-79.383518,11
Carlton St / Parliament St,43.664524,-79.36793,21
Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,1
Spadina Rd / Austin Terrace,43.67883,-79.408723,3
Hanna Ave / Snooker St,43.639547,-79.420022,15
Queen St W / John St,43.650077,-79.391291,21
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,0
Eglinton Ave W / Gilbert Ave,43.69254716689966,-79.46332759272917,1
St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,5
Front St E / Cherry St,43.652686,-79.358395,8
Jarvis St / Isabella St,43.668991,-79.379385,4
Jane St / Yorkwoods Gt,43.7503016975738,-79.51577557434386,0
Bay St / College St (East Side),43.660439,-79.385525,11
Richmond St W / York St,43.650745,-79.383633,10
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,7
Bay St / Bloor St W (West Side),43.669244,-79.3894,1
Queen St W / Spadina Ave,43.649147,-79.395504,6
Davenport Rd / Avenue Rd,43.674991,-79.396273,1
King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,6
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,9
Edward St / Yonge St,43.656729,-79.382736,8
16 Riverview Gardens ,43.64883712159794,-79.48675294250663,28
Queen's Park / Bloor St W,43.668456,-79.393899,12
Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,5
Shaw St / King St W,43.6412561641921,-79.41502994047545,10
Havelock St / Dewson St,43.6554793,-79.4302462,3
Kilgour Rd / Rumsey Rd,43.718039,-79.371914,5
Spadina Ave / Blue Jays Way,43.641705,-79.393295,6
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,16
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,14
2700 Eglinton Ave W,43.69074600637147,-79.47820143344333,39
Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,10
75 Holly St,43.7063279,-79.3962499,6
Starspray Blvd / Lawrence Ave E,43.788525214554085,-79.1231844760227,15
The Pond Rd / Shoreham Dr,43.772445,-79.511912,1
Adelaide St W / Yonge St,43.65038002325664,-79.3787277120385,15
Lynn Williams St / East Liberty St,43.638925,-79.4168659,13
Roding St / Nash Dr,43.72885964584396,-79.49202997658232,0
King St E / Berkeley St,43.651885,-79.3649,27
Royal York Rd / Mimico Ave,43.612063,-79.496573,13
King St W / Charlotte St,43.645572,-79.39399,15
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,0
Harbord St / Clinton St,43.660414,-79.415646,1
Jameson Ave / Queen St W,43.63985,-79.43703,14
High Park - Grenadier Cafe,43.645599,-79.4657123,3
High Park Amphitheatre,43.646251,-79.46472,2
Gothic Ave / Quebec Ave,43.65389,-79.4675,7
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,8
Grantbrook St / Finch Hydro Corridor Trail,43.780468305361154,-79.43280415488479,1
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,2
College St / Borden St,43.6571,-79.4056,1
Coxwell Ave / Plains Rd,43.69595,-79.328535,3
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,6
Glen Long Community Centre,43.70820992643782,-79.45627808717194,6
Taddle Creek Park,43.66986,-79.398443,2
Bloor St E / Huntley St - SMART,43.671535,-79.379173,9
Gerrard St E / Leslie St,43.669813,-79.3335,5
Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,3
Maud St / Adelaide St W - SMART,43.6460145694434,-79.39960497726345,5
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,2
High Park - West Rd,43.651922,-79.465693,3
King St W / Jordan St,43.648928,-79.378623,1
Morningside Park (Highland Creek Trail),43.779353,-79.193023,7
Ellesmere Rd / Markham Rd,43.77682938751077,-79.2305003612381,0
King St W / Cowan Ave - SMART,43.637922,-79.431734,7
Trethewey Dr / Black Creek Dr,43.695498400279796,-79.48809394482672,2
Adelaide St W / Bay St,43.650152,-79.379856,19
Pharmacy Ave / Eglinton Ave E ,43.72534466992445,-79.2976874085289,6
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,24
Brahms Ave / Finch Ave E,43.79236326442992,-79.35836318028717,0
King St W / Crawford St,43.6417852,-79.4131148,5
Isabella St / Church St,43.66834,-79.38235,6
Durie St / Dundas St W,43.665523,-79.484892,2
Trent Ave / Danforth Ave,43.689293,-79.295895,11
Marilyn Bell Park Tennis Court,43.633537,-79.437461,18
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,3
Joe Shuster Way / King St W ,43.64039672322004,-79.4237424131447,18
Sherbourne St / Wellesley St E,43.6673,-79.374,11
Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,14
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,4
135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,0
15 Price St ,43.6799477790745,-79.38994813684005,5
Jarvis St / Dundas St E,43.657266,-79.374756,8
Orde St / McCaul St,43.6580442,-79.3927404,7
University Ave / King St W - SMART,43.6477785,-79.3847928,19
Islington Ave / Finch Ave W,43.74445257991756,-79.56824985721664,0
The Queensway at South Kingsway,43.63632,-79.47307,20
Roehampton Ave / Bayview Ave,43.711751,-79.378615,4
Phoebe St / Spadina Ave,43.650033,-79.396555,27
Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,5
Bay St / Bloor St W (East Side),43.66943,-79.38915,7
Symington Ave / Dupont St,43.665538,-79.451263,1
St. Clair Ave W / Osler St,43.6739269797493,-79.46068479021301,1
Bridgman Ave / Bathurst St,43.674444,-79.414722,2
Davenport Rd / Bedford Rd,43.674446,-79.398331,0
University Ave / College St (East),43.65995,-79.38964,1
York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,8
Simcoe St / Elm St,43.656038841714505,-79.38970387738495,3
King St W / Spadina Ave,43.64514249449372,-79.39510358283808,7
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,11
Bayview Ave / Finch Recreational Trail,43.789068698639504,-79.39315096004944,2
Keele St / Lloyd Ave,43.67115532642577,-79.46701597756929,5
Viewmount Park,43.70735572654095,-79.43723072209013,0
Housey St / Dan Leckie Way,43.63811,-79.397877,9
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,15
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,0
Slan Ave / Scarborough Golf Club Rd,43.77327261711258,-79.21971485277862,1
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,1
